month,firefox,safari,google_chrome,internet_explorer,opera
2004-01,1,3,3,40,8
2004-02,6,3,3,41,8
2004-03,8,2,3,39,7
2004-04,8,2,3,37,6
2004-05,10,2,3,37,7
2004-06,21,3,3,42,8
2004-07,33,3,3,39,10
2004-08,26,3,3,38,7
2004-09,35,3,3,36,7
2004-10,35,3,3,34,7
2004-11,67,3,3,31,7
2004-12,58,3,3,31,7
2005-01,63,3,3,31,7
2005-02,60,3,3,30,7
2005-03,54,3,3,28,6
2005-04,46,3,3,25,7
2005-05,55,4,3,25,7
2005-06,48,3,3,24,6
2005-07,53,4,3,26,6
2005-08,52,4,3,30,6
2005-09,53,3,2,27,9
2005-10,45,3,2,27,8
2005-11,45,3,3,23,7
2005-12,58,3,3,24,7
2006-01,52,4,2,28,7
2006-02,49,3,3,29,8
2006-03,46,3,3,29,7
2006-04,49,3,3,30,7
2006-05,46,3,3,30,7
2006-06,49,3,3,29,9
2006-07,54,3,3,31,8
2006-08,54,3,3,33,7
2006-09,54,4,2,33,7
2006-10,69,3,2,43,8
2006-11,65,3,2,43,8
2006-12,61,3,2,40,8
2007-01,59,3,2,37,7
2007-02,57,3,2,35,7
2007-03,52,3,3,32,6
2007-04,50,3,3,29,7
2007-05,48,3,3,27,6
2007-06,55,11,3,28,7
2007-07,54,6,3,27,7
2007-08,55,5,3,29,7
2007-09,55,6,2,27,8
2007-10,52,5,2,27,7
2007-11,56,6,2,27,7
2007-12,58,6,2,28,8
2008-01,54,5,2,26,7
2008-02,54,5,3,26,7
2008-03,59,8,3,27,7
2008-04,57,7,3,25,7
2008-05,58,6,3,24,7
2008-06,100,6,3,26,8
2008-07,74,7,2,26,7
2008-08,71,6,2,30,6
2008-09,70,6,89,31,6
2008-10,58,6,17,27,6
2008-11,58,6,18,27,7
2008-12,68,6,22,33,7
2009-01,64,6,19,31,7
2009-02,60,9,16,29,6
2009-03,60,10,18,35,7
2009-04,59,6,20,34,6
2009-05,57,6,22,31,7
2009-06,60,12,20,33,7
2009-07,72,8,24,32,6
2009-08,69,8,25,33,6
2009-09,63,9,27,29,8
2009-10,59,7,27,28,6
2009-11,61,7,33,28,7
2009-12,61,7,41,28,7
2010-01,67,7,44,30,7
2010-02,64,7,42,27,7
2010-03,64,6,39,27,9
2010-04,56,6,38,25,8
2010-05,49,6,42,24,7
2010-06,54,12,40,27,6
2010-07,56,8,36,24,13
2010-08,53,8,38,23,12
2010-09,52,7,41,27,11
2010-10,52,7,41,25,11
2010-11,49,7,41,22,11
2010-12,52,7,50,25,12
2011-01,49,8,41,23,5
2011-02,48,8,46,23,5
2011-03,65,8,46,30,6
2011-04,54,7,42,28,6
2011-05,54,8,49,26,6
2011-06,54,8,50,26,5
2011-07,49,9,48,24,6
2011-08,52,10,49,24,6
2011-09,50,9,49,23,7
2011-10,45,9,46,21,7
2011-11,44,9,46,20,6
2011-12,41,9,52,20,6
2012-01,41,9,46,22,6
2012-02,39,8,46,19,6
2012-03,36,8,44,21,6
2012-04,33,8,44,19,5
2012-05,31,8,45,18,5
2012-06,37,8,44,17,5
2012-07,35,9,49,18,6
2012-08,35,10,52,19,6
2012-09,35,9,50,21,6
2012-10,32,8,49,20,6
2012-11,30,8,48,18,7
2012-12,29,8,50,17,7
2013-01,32,9,50,19,8
2013-02,30,8,51,18,7
2013-03,27,8,50,19,6
2013-04,28,7,47,19,5
2013-05,27,7,48,18,5
2013-06,26,7,47,17,5
2013-07,28,7,48,18,4
2013-08,29,7,51,18,3
2013-09,27,9,52,16,3
2013-10,27,9,56,17,4
2013-11,26,9,54,19,5
2013-12,26,8,57,20,5
2014-01,28,9,62,19,5
2014-02,26,8,59,17,5
2014-03,24,8,59,15,5
2014-04,27,8,57,19,6
2014-05,28,7,55,18,7
2014-06,24,7,54,15,8
2014-07,23,7,51,15,8
2014-08,24,8,55,15,8
