report_date,warehouse_location,client_group,product_group,quantity,unit_price,total_price,payment_method
2022-05-01,Central,Retail,Miscellaneous,8,16.85,134.83,credit_card
2022-05-01,North,Retail,Breaking system,9,19.29,173.61,cash
2022-05-01,North,Retail,Suspension & traction,8,32.93,263.45,credit_card
2022-05-01,North,Wholesale,Frame & body,16,37.84,605.44,bank_transfer
2022-05-01,Central,Retail,Engine,2,60.48,120.96,credit_card
2022-05-01,North,Wholesale,Suspension & traction,40,37.37,1494.8,bank_transfer
2022-05-01,West,Retail,Electrical system,2,27.2,54.41,credit_card
2022-05-01,Central,Retail,Breaking system,10,22.44,224.38,credit_card
2022-05-01,West,Wholesale,Frame & body,40,39.5,1579.87,bank_transfer
2022-05-01,North,Retail,Frame & body,6,45.44,272.61,credit_card
2022-05-01,Central,Retail,Frame & body,6,38.2,229.22,credit_card
2022-05-01,Central,Retail,Suspension & traction,6,37.45,224.71,credit_card
2022-05-02,Central,Retail,Suspension & traction,6,28.67,172.01,credit_card
2022-05-02,Central,Retail,Breaking system,9,15.1,135.92,credit_card
2022-05-02,Central,Retail,Electrical system,10,22.37,223.68,credit_card
2022-05-02,West,Retail,Breaking system,2,24.97,49.94,credit_card
2022-05-02,North,Retail,Frame & body,1,40.41,40.41,credit_card
2022-05-02,North,Retail,Miscellaneous,6,20.28,121.66,credit_card
2022-05-02,Central,Retail,Frame & body,6,40.77,244.63,credit_card
2022-05-02,West,Retail,Frame & body,8,38.61,308.89,credit_card
2022-05-03,North,Retail,Electrical system,9,20.5,184.54,credit_card
2022-05-03,North,Retail,Suspension & traction,5,36.18,180.91,credit_card
2022-05-03,North,Retail,Electrical system,5,28.33,141.67,credit_card
2022-05-03,Central,Retail,Suspension & traction,6,35.52,213.15,credit_card
2022-05-03,Central,Retail,Electrical system,1,29.31,29.31,cash
2022-05-03,Central,Retail,Frame & body,1,48.9,48.9,credit_card
2022-05-03,West,Retail,Electrical system,2,20.19,40.37,credit_card
2022-05-03,Central,Retail,Electrical system,8,27.0,216.0,credit_card
2022-05-04,North,Retail,Suspension & traction,10,30.92,309.23,credit_card
2022-05-04,Central,Retail,Breaking system,4,19.78,79.14,credit_card
2022-05-04,Central,Retail,Frame & body,3,41.07,123.21,credit_card
2022-05-04,North,Retail,Electrical system,5,20.16,100.81,credit_card
2022-05-04,Central,Retail,Suspension & traction,1,37.03,37.03,credit_card
2022-05-04,West,Retail,Electrical system,9,27.78,249.98,credit_card
2022-05-05,Central,Retail,Breaking system,3,21.01,63.03,credit_card
2022-05-05,West,Retail,Breaking system,6,12.9,77.38,cash
2022-05-05,North,Wholesale,Electrical system,28,29.12,815.22,bank_transfer
2022-05-05,Central,Retail,Miscellaneous,1,25.2,25.2,credit_card
2022-05-05,Central,Retail,Breaking system,1,20.66,20.66,credit_card
2022-05-05,North,Retail,Electrical system,7,32.31,226.19,credit_card
2022-05-05,North,Wholesale,Suspension & traction,16,36.79,588.64,bank_transfer
2022-05-05,North,Retail,Suspension & traction,5,32.15,160.76,credit_card
2022-05-05,Central,Wholesale,Breaking system,4,13.65,54.6,bank_transfer
2022-05-05,Central,Retail,Suspension & traction,9,30.9,278.07,credit_card
2022-05-05,North,Retail,Suspension & traction,4,35.44,141.77,credit_card
2022-05-05,West,Retail,Engine,7,63.15,442.04,credit_card
2022-05-06,North,Wholesale,Suspension & traction,32,34.82,1114.13,bank_transfer
2022-05-06,Central,Retail,Suspension & traction,4,35.36,141.46,credit_card
2022-05-06,Central,Wholesale,Engine,36,63.41,2282.82,bank_transfer
2022-05-06,West,Retail,Miscellaneous,10,28.25,282.47,credit_card
2022-05-06,North,Retail,Frame & body,1,35.89,35.89,credit_card
2022-05-06,North,Retail,Breaking system,5,15.16,75.78,credit_card
2022-05-06,Central,Retail,Breaking system,4,21.95,87.79,credit_card
2022-05-06,North,Retail,Breaking system,7,15.43,108.0,credit_card
2022-05-06,North,Retail,Frame & body,4,44.1,176.39,credit_card
2022-05-07,Central,Wholesale,Frame & body,4,44.69,178.75,bank_transfer
2022-05-07,West,Retail,Miscellaneous,3,17.87,53.61,cash
2022-05-07,North,Retail,Frame & body,9,43.49,391.42,credit_card
2022-05-07,Central,Retail,Miscellaneous,4,28.19,112.76,credit_card
2022-05-07,Central,Retail,Breaking system,7,16.33,114.3,credit_card
2022-05-07,Central,Wholesale,Suspension & traction,40,28.64,1145.47,bank_transfer
2022-05-07,Central,Retail,Breaking system,6,24.6,147.61,credit_card
2022-05-07,North,Retail,Suspension & traction,9,28.59,257.31,credit_card
2022-05-07,North,Retail,Electrical system,4,29.62,118.48,credit_card
2022-05-08,North,Retail,Frame & body,5,39.52,197.62,cash
2022-05-08,West,Retail,Breaking system,1,10.46,10.46,credit_card
2022-05-08,Central,Retail,Breaking system,10,19.21,192.05,cash
2022-05-08,Central,Wholesale,Frame & body,8,44.14,353.11,bank_transfer
2022-05-08,Central,Retail,Miscellaneous,8,24.76,198.05,credit_card
2022-05-08,Central,Wholesale,Breaking system,40,20.77,830.67,bank_transfer
2022-05-08,West,Retail,Breaking system,9,13.62,122.6,credit_card
2022-05-08,West,Retail,Suspension & traction,4,32.56,130.25,credit_card
2022-05-08,North,Retail,Electrical system,4,25.04,100.15,credit_card
2022-05-08,Central,Wholesale,Miscellaneous,40,18.87,754.73,bank_transfer
2022-05-08,Central,Retail,Suspension & traction,2,33.18,66.37,credit_card
2022-05-08,West,Wholesale,Suspension & traction,12,34.26,411.14,bank_transfer
2022-05-08,West,Wholesale,Miscellaneous,12,17.39,208.62,bank_transfer
2022-05-08,North,Retail,Electrical system,3,29.93,89.8,credit_card
2022-05-08,North,Retail,Frame & body,2,35.46,70.92,credit_card
2022-05-08,Central,Retail,Frame & body,3,41.42,124.25,credit_card
2022-05-08,West,Wholesale,Breaking system,36,20.48,737.28,bank_transfer
2022-05-08,West,Wholesale,Breaking system,28,16.98,475.49,bank_transfer
2022-05-09,Central,Wholesale,Breaking system,36,16.51,594.24,bank_transfer
2022-05-09,West,Retail,Frame & body,10,49.24,492.4,credit_card
2022-05-09,Central,Retail,Frame & body,8,35.31,282.47,credit_card
2022-05-09,Central,Retail,Breaking system,6,16.55,99.32,credit_card
2022-05-09,North,Retail,Breaking system,5,14.76,73.78,credit_card
2022-05-09,West,Retail,Electrical system,7,32.73,229.1,cash
2022-05-09,Central,Retail,Suspension & traction,10,27.63,276.33,credit_card
2022-05-09,Central,Wholesale,Suspension & traction,12,28.65,343.8,bank_transfer
2022-05-10,Central,Retail,Electrical system,4,18.96,75.85,credit_card
2022-05-10,Central,Retail,Frame & body,8,47.3,378.37,credit_card
2022-05-10,North,Retail,Engine,2,56.04,112.09,credit_card
2022-05-10,Central,Retail,Electrical system,5,29.13,145.66,credit_card
2022-05-10,West,Wholesale,Miscellaneous,36,21.75,782.94,bank_transfer
2022-05-10,West,Retail,Frame & body,7,47.19,330.33,credit_card
2022-05-10,North,Retail,Suspension & traction,6,38.06,228.38,cash
2022-05-10,Central,Retail,Breaking system,7,21.64,151.5,credit_card
2022-05-10,North,Wholesale,Frame & body,28,37.0,1035.91,bank_transfer
2022-05-11,North,Retail,Miscellaneous,9,17.49,157.41,cash
2022-05-11,North,Retail,Breaking system,1,23.28,23.28,credit_card
2022-05-11,Central,Wholesale,Breaking system,28,14.46,404.93,bank_transfer
2022-05-11,North,Retail,Breaking system,5,10.63,53.16,credit_card
2022-05-11,North,Retail,Suspension & traction,6,41.09,246.52,credit_card
2022-05-11,North,Wholesale,Miscellaneous,24,21.42,514.0,bank_transfer
2022-05-11,North,Retail,Frame & body,4,47.06,188.22,credit_card
2022-05-11,West,Retail,Frame & body,2,47.86,95.72,credit_card
2022-05-12,North,Retail,Breaking system,10,13.24,132.37,credit_card
2022-05-12,West,Wholesale,Frame & body,28,42.85,1199.89,bank_transfer
2022-05-12,Central,Retail,Electrical system,2,26.2,52.41,credit_card
2022-05-12,Central,Retail,Suspension & traction,7,33.51,234.58,credit_card
2022-05-12,Central,Retail,Electrical system,1,21.18,21.18,cash
2022-05-12,Central,Retail,Frame & body,6,37.17,223.01,credit_card
2022-05-12,North,Retail,Breaking system,9,11.67,105.02,credit_card
2022-05-12,North,Retail,Suspension & traction,10,39.78,397.78,credit_card
2022-05-12,Central,Retail,Breaking system,10,22.21,222.08,credit_card
2022-05-12,Central,Retail,Suspension & traction,10,41.25,412.5,credit_card
2022-05-12,Central,Retail,Electrical system,8,31.93,255.41,credit_card
2022-05-13,North,Retail,Electrical system,9,23.27,209.43,credit_card
2022-05-13,North,Retail,Frame & body,7,40.93,286.51,credit_card
2022-05-13,Central,Retail,Frame & body,6,45.43,272.6,credit_card
2022-05-13,North,Retail,Suspension & traction,3,38.5,115.5,credit_card
2022-05-13,Central,Retail,Electrical system,10,23.61,236.08,cash
2022-05-13,Central,Wholesale,Breaking system,8,18.31,146.48,bank_transfer
2022-05-13,West,Retail,Miscellaneous,4,16.84,67.36,credit_card
2022-05-13,Central,Retail,Miscellaneous,2,25.4,50.8,credit_card
2022-05-13,Central,Retail,Breaking system,1,20.72,20.72,credit_card
2022-05-13,North,Retail,Suspension & traction,6,28.91,173.46,cash
2022-05-14,Central,Retail,Miscellaneous,1,27.47,27.47,credit_card
2022-05-14,North,Retail,Breaking system,10,17.67,176.73,credit_card
2022-05-14,Central,Retail,Electrical system,7,26.9,188.31,credit_card
2022-05-14,Central,Retail,Frame & body,1,39.14,39.14,credit_card
2022-05-14,Central,Retail,Miscellaneous,5,29.95,149.74,credit_card
2022-05-14,Central,Retail,Miscellaneous,7,25.51,178.57,credit_card
2022-05-14,Central,Retail,Electrical system,1,19.62,19.62,credit_card
2022-05-14,West,Retail,Miscellaneous,4,18.63,74.51,credit_card
2022-05-14,North,Wholesale,Breaking system,20,24.45,489.0,bank_transfer
2022-05-14,Central,Wholesale,Electrical system,12,26.74,320.94,bank_transfer
2022-05-14,Central,Retail,Breaking system,4,11.35,45.39,credit_card
2022-05-14,West,Retail,Suspension & traction,9,32.47,292.26,credit_card
2022-05-14,Central,Retail,Engine,7,58.86,412.06,credit_card
2022-05-15,Central,Wholesale,Engine,28,63.54,1779.07,bank_transfer
2022-05-15,Central,Retail,Suspension & traction,10,41.23,412.28,credit_card
2022-05-15,North,Retail,Frame & body,7,36.52,255.62,credit_card
2022-05-15,Central,Retail,Breaking system,2,20.59,41.17,credit_card
2022-05-15,Central,Retail,Electrical system,5,29.28,146.38,credit_card
2022-05-15,Central,Wholesale,Frame & body,24,48.95,1174.88,bank_transfer
2022-05-15,North,Retail,Electrical system,9,26.81,241.32,credit_card
2022-05-15,North,Wholesale,Suspension & traction,36,39.87,1435.26,bank_transfer
2022-05-15,Central,Retail,Engine,10,61.08,610.78,credit_card
2022-05-15,North,Retail,Suspension & traction,6,26.9,161.43,credit_card
2022-05-15,West,Retail,Miscellaneous,5,16.24,81.2,credit_card
2022-05-15,North,Retail,Breaking system,2,22.3,44.59,credit_card
2022-05-15,West,Retail,Suspension & traction,10,34.31,343.12,credit_card
2022-05-16,North,Wholesale,Suspension & traction,40,35.59,1423.73,bank_transfer
2022-05-16,Central,Retail,Suspension & traction,10,40.93,409.3,credit_card
2022-05-16,Central,Retail,Miscellaneous,9,28.88,259.89,credit_card
2022-05-16,North,Retail,Frame & body,2,48.86,97.73,credit_card
2022-05-16,Central,Retail,Frame & body,7,48.46,339.2,credit_card
2022-05-16,Central,Retail,Frame & body,2,35.92,71.83,credit_card
2022-05-16,Central,Retail,Breaking system,4,14.87,59.47,credit_card
2022-05-16,Central,Retail,Frame & body,7,36.19,253.33,cash
2022-05-16,Central,Retail,Miscellaneous,9,22.1,198.9,credit_card
2022-05-16,Central,Wholesale,Breaking system,4,16.89,67.57,bank_transfer
2022-05-17,Central,Retail,Suspension & traction,7,40.76,285.36,credit_card
2022-05-17,Central,Retail,Frame & body,2,40.1,80.21,credit_card
2022-05-17,North,Retail,Miscellaneous,10,26.87,268.68,cash
2022-05-17,Central,Wholesale,Frame & body,20,45.32,906.4,bank_transfer
2022-05-17,Central,Wholesale,Electrical system,8,27.14,217.09,bank_transfer
2022-05-17,Central,Wholesale,Miscellaneous,8,22.98,183.85,bank_transfer
2022-05-17,North,Retail,Frame & body,3,37.62,112.85,credit_card
2022-05-17,North,Retail,Frame & body,7,43.15,302.06,cash
2022-05-17,North,Retail,Suspension & traction,6,28.59,171.52,credit_card
2022-05-17,Central,Wholesale,Miscellaneous,8,24.28,194.2,bank_transfer
2022-05-17,Central,Wholesale,Suspension & traction,4,39.45,157.81,bank_transfer
2022-05-18,North,Wholesale,Frame & body,24,48.18,1156.24,bank_transfer
2022-05-18,Central,Wholesale,Frame & body,36,48.44,1743.78,bank_transfer
2022-05-18,West,Retail,Electrical system,1,23.24,23.24,credit_card
2022-05-18,North,Wholesale,Breaking system,12,23.02,276.3,bank_transfer
2022-05-18,Central,Wholesale,Breaking system,24,11.25,269.92,bank_transfer
2022-05-18,North,Retail,Suspension & traction,5,29.38,146.93,credit_card
2022-05-18,North,Retail,Suspension & traction,9,28.23,254.04,credit_card
2022-05-18,Central,Retail,Miscellaneous,8,16.63,133.05,credit_card
2022-05-18,Central,Retail,Breaking system,7,18.46,129.2,credit_card
2022-05-19,North,Wholesale,Frame & body,16,44.54,712.69,bank_transfer
2022-05-19,North,Retail,Breaking system,6,24.85,149.1,credit_card
2022-05-19,North,Retail,Suspension & traction,10,32.61,326.13,credit_card
2022-05-19,North,Retail,Miscellaneous,8,18.98,151.84,credit_card
2022-05-19,North,Retail,Frame & body,10,44.03,440.32,cash
2022-05-19,Central,Retail,Suspension & traction,6,33.82,202.89,credit_card
2022-05-19,North,Retail,Suspension & traction,9,34.68,312.1,credit_card
2022-05-19,Central,Retail,Frame & body,3,43.84,131.53,credit_card
2022-05-19,Central,Retail,Electrical system,8,18.68,149.47,credit_card
2022-05-19,North,Retail,Miscellaneous,6,21.88,131.28,credit_card
2022-05-19,West,Retail,Frame & body,1,46.82,46.82,credit_card
2022-05-19,West,Retail,Suspension & traction,4,34.35,137.42,credit_card
2022-05-19,West,Retail,Miscellaneous,8,20.53,164.24,credit_card
2022-05-19,North,Wholesale,Suspension & traction,12,26.99,323.88,bank_transfer
2022-05-19,West,Retail,Breaking system,4,18.26,73.06,credit_card
2022-05-19,West,Wholesale,Suspension & traction,4,39.77,159.07,bank_transfer
2022-05-20,West,Retail,Electrical system,7,27.35,191.43,credit_card
2022-05-20,Central,Retail,Suspension & traction,3,31.25,93.74,credit_card
2022-05-20,Central,Wholesale,Frame & body,16,47.16,754.48,bank_transfer
2022-05-20,West,Retail,Breaking system,8,10.94,87.49,credit_card
2022-05-20,North,Wholesale,Breaking system,32,18.98,607.36,bank_transfer
2022-05-20,North,Retail,Suspension & traction,10,37.06,370.58,credit_card
2022-05-20,West,Wholesale,Suspension & traction,32,39.88,1276.0,bank_transfer
2022-05-20,North,Wholesale,Electrical system,16,25.92,414.67,bank_transfer
2022-05-20,Central,Retail,Suspension & traction,2,33.91,67.81,credit_card
2022-05-20,North,Retail,Frame & body,2,48.86,97.71,cash
2022-05-21,North,Retail,Miscellaneous,3,22.45,67.34,credit_card
2022-05-21,North,Retail,Electrical system,7,25.53,178.7,cash
2022-05-21,West,Retail,Engine,6,66.53,399.19,cash
2022-05-21,North,Retail,Suspension & traction,6,37.99,227.95,credit_card
2022-05-21,North,Wholesale,Breaking system,8,14.39,115.15,bank_transfer
2022-05-21,Central,Retail,Frame & body,1,49.69,49.69,credit_card
2022-05-21,West,Wholesale,Miscellaneous,4,24.83,99.32,bank_transfer
